ano;id_aluno;id_escola;id_municipio;nome_municipio;sigla_uf;regiao;rede;serie;caderno;peso_aluno;mun_ctx_taxa_alfabetizacao;mun_ctx_media_portugues;mun_ctx_nivel_alfabetizacao;mun_ctx_percentual_participacao;mun_meta_2024;mun_meta_2030;mun_gap_projetado;mun_esforco_anual_requerido;uf_ctx_taxa_alfabetizacao;uf_ctx_media_portugues;uf_ctx_ranking_nacional;uf_meta_2030;escola_n_alunos_avaliados;mun_n_alunos_avaliados;mun_n_escolas;proficiencia;nao_alfabetizado;ibge_populacao;ibge_pib_per_capita;ibge_densidade_demografica;ibge_log_populacao
2024;35284848;60027430;3523107;Itaquaquecetuba;SP;Sudeste;municipal;2;16;1,0714286;42,98;728,2914;1,5;91,325;48,89;80,0;5,91;5,289;51,91;740,39;15,0;80,0;172;4693;39;720,9363564;1;382521,0;31316,61;3877,73;12,8545
2024;35289695;60026096;3529401;Mauá;SP;Sudeste;estadual;2;9;1,0666667;64,23;760,3227;1,0;80,75;51,29;80,0;-12,94;2,253;51,91;740,39;15,0;80,0;121;3825;39;736,2855829;1;429380,0;58225,19;6803,54;12,9701
2024;28002382;60014090;2805604;Porto da Folha;SE;Nordeste;municipal;2;11;1,17;23,53;698,5287;0,0;90,535;30,74;80,0;7,21;8,067;31,3;713,13;24,0;80,0;12;228;11;787,87;0;27350,0;23320,22;30,94;10,2165
2024;31043308;60017960;3106200;Belo Horizonte;MG;Sudeste;estadual;2;1;1,0;65,95;757,7534;2,5;84,09;61,33;80,0;-4,62;2,007;59,81;751,71;8,0;80,0;44;16012;262;700,48;1;2416339,0;53882,2;7167,02;14,6978
2024;29263015;60016593;2933307;Vitória da Conquista;BA;Nordeste;municipal;2;4;1,0;47,86;736,1256;1,0;91,075;53,11;80,0;5,25;4,591;36,78;724,86;23,0;80,0;61;2826;58;683,83;1;394024,0;32146,7;90,11;12,8842
2024;16002275;60003702;1600303;Macapá;AP;Norte;municipal;2;16;1,04;43,33;734,2328;1,0;91,06;49,2;80,0;5,87;5,239;41,56;732,43;21,0;80,0;106;6536;104;761,45;0;487200,0;37912,27;62,14;13,0964
2024;26031828;60012438;2610707;Paulista;PE;Nordeste;municipal;2;5;1,14;51,23;738,1822;2,0;90,015;55,98;80,0;4,75;4,11;58,95;747,45;9,0;80,0;80;2040;47;696,7;1;362960,0;19283,15;3086,01;12,8021
2024;35005164;60029566;3545803;Santa Bárbara d'Oeste;SP;Sudeste;municipal;2;5;1,0;54,63;743,0969;2,5;89,91;58,84;80,0;4,21;3,624;51,91;740,39;15,0;80,0;44;1579;31;769,1328219;0;189338,0;57061,93;663,08;12,1513
2024;35163315;60026265;3518701;Guarujá;SP;Sudeste;estadual;2;15;1,137931;41,95;728,4325;1,0;84,725;53,43;80,0;11,48;5,436;51,91;740,39;15,0;80,0;87;3023;32;770,5804818;0;294973,0;39109,88;2034,91;12,5946
2024;42016095;60036026;4203154;Calmon;SC;Sul;municipal;2;8;1,27;62,96;746,6564;2,5;84,445;65,76;80,0;2,8;2,434;61,38;747,11;7,0;80,0;17;75;2;816,05;0;3513,0;38477,94;5,3;8,1645
2024;26078526;60012827;2602902;Cabo de Santo Agostinho;PE;Nordeste;municipal;2;1;1,0;55,12;742,1995;2,0;90,53;59,25;80,0;4,13;3,554;58,95;747,45;9,0;80,0;14;1976;50;710,62;1;216969,0;73271,39;414,32;12,2875
2024;23021031;60008806;2307304;Juazeiro do Norte;CE;Nordeste;municipal;2;9;1,0;60,56;756,6707;2,5;96,15;63,78;80,0;3,22;2,777;84,46;795,68;1,0;80,0;15;2361;42;779,51;0;303004,0;21311,74;1006,91;12,6215
2024;35425415;60031280;3550308;São Paulo;SP;Sudeste;municipal;2;7;1,2;37,87;721,2607;0,5;84,24000000000001;44,37;80,0;6,5;6,019;51,91;740,39;15,0;80,0;54;94373;1110;771,8384423;0;11895578,0;89682,49;7387,69;16,2917
2024;26007881;60013122;2615409;Toritama;PE;Nordeste;municipal;2;17;1,0;50,21;734,8244;2,5;94,22999999999999;55,11;80,0;4,9;4,256;58,95;747,45;9,0;80,0;88;548;8;775,5;0;43636,0;18625,79;1383,21;10,6837
2024;52000733;60041125;5208707;Goiânia;GO;Centro-Oeste;municipal;2;11;1,0;66,56;750,6494;3,0;84,00999999999999;68,74;80,0;2,18;1,92;66,74;752,15;4,0;80,0;51;8840;164;750,87;0;1494599,0;50703,13;1776,75;14,2174
2024;31068194;60021163;3150539;Pingo-d'Água;MG;Sudeste;municipal;2;20;1,05;34,7;728,2144;2,5;88,75;41,49;80,0;6,79;6,471;59,81;751,71;8,0;80,0;48;48;1;762,82;0;4845,0;14477,19;66,4;8,4859
2024;35227930;60029198;3542206;Rancharia;SP;Sudeste;municipal;2;1;1,1428571;60,04;749,0974;3,0;92,44;63,34;80,0;3,3;2,851;51,91;740,39;15,0;80,0;88;346;6;787,2131925;0;29305,0;68236,03;18,14;10,2855
2024;22019778;60007015;2208007;Picos;PI;Nordeste;municipal;2;3;1,33;52,95;740,4464;2,0;89,31;57,43;80,0;4,48;3,864;52,48;744,66;12,0;80,0;18;528;26;818,87;0;86228,0;28490,54;137,3;11,3648
2024;15012033;60002191;1500909;Augusto Corrêa;PA;Norte;municipal;2;10;1,18;38,56;724,8602;0,5;85,60499999999999;44,99;80,0;6,43;5,92;48,38;733,29;17,0;80,0;65;512;19;638,24;1;47596,0;10298,28;37,1;10,7705
2024;31040819;60020845;3162559;São João do Manhuaçu;MG;Sudeste;municipal;2;15;1,1;76,73;772,2763;4,0;94,97;77,22;80,0;0,49;0,467;59,81;751,71;8,0;80,0;129;152;3;783,38;0;11614,0;21115,21;71,6;9,3601
2024;23058800;60008643;2307403;Jucás;CE;Nordeste;municipal;2;10;1,0;86,69;798,457;5,0;97,14500000000001;80,0;80,0;-6,69;-0,956;84,46;795,68;1,0;80,0;42;278;10;715,85;1;24591,0;15875,32;25,4;10,1102
2024;50020191;60039821;5003702;Dourados;MS;Centro-Oeste;municipal;2;8;1,18;40,43;727,1128;1,5;83,005;46,65;80,0;6,22;5,653;47,45;735,95;18,0;80,0;113;3216;43;731,45;1;260640,0;77723,88;47,97;12,4709
