id_municipio,nome_municipio,sigla_uf,regiao,rede,ctx_taxa,meta_2024,gap_projetado,taxa_observada,meta_do_ano,nao_atingiu_meta,prob_nao_atingir_meta,faixa_risco,particao,n_alunos_avaliados,ibge_populacao,ibge_pib_per_capita
3162104,São Gotardo,MG,Sudeste,municipal,53.04,57.5,4.46,75.49,57.5,0,0.0574,baixo,treino,495.0,43309.0,35913.11
3135506,Jequeri,MG,Sudeste,municipal,57.46,61.2,3.74,84.89,61.2,0,0.0573,baixo,treino,80.0,12652.0,19415.27
3117207,Conceição das Pedras,MG,Sudeste,publica,57.92,61.58,3.66,76.67,61.58,0,0.0573,baixo,treino,,2837.0,27772.29
1703909,Caseara,TO,Norte,municipal,17.04,23.89,6.85,31.53,23.89,0,0.0572,baixo,treino,60.0,5009.0,94727.09
5218904,Rubiataba,GO,Centro-Oeste,publica,77.53,77.9,0.37,87.69,77.9,0,0.0572,baixo,teste,,20132.0,38119.36
3106002,Bela Vista de Minas,MG,Sudeste,municipal,63.8,66.46,2.66,73.62,66.46,0,0.0571,baixo,treino,88.0,10412.0,39160.01
3160603,Santo Hipólito,MG,Sudeste,municipal,58.82,62.33,3.51,93.33,62.33,0,0.0571,baixo,treino,15.0,2720.0,26354.78
5221502,Turvânia,GO,Centro-Oeste,publica,72.58,73.74,1.16,80.7,73.74,0,0.0569,baixo,treino,,4478.0,80230.91
1703867,Cariri do Tocantins,TO,Norte,publica,15.77,22.48,6.71,52.01,22.48,0,0.0567,baixo,treino,,4147.0,240607.67
3121902,Divinésia,MG,Sudeste,municipal,43.0,48.91,5.91,75.0,48.91,0,0.0566,baixo,treino,52.0,4426.0,19657.25
3157104,Salto da Divisa,MG,Sudeste,publica,43.75,49.57,5.82,59.15,49.57,0,0.0566,baixo,treino,,6164.0,19258.6
3163508,São José do Jacuri,MG,Sudeste,municipal,55.27,59.37,4.1,81.45,59.37,0,0.0566,baixo,teste,55.0,6298.0,25014.45
5216809,Petrolina de Goiás,GO,Centro-Oeste,municipal,59.28,62.71,3.43,85.41,62.71,0,0.0564,baixo,treino,61.0,9577.0,25565.73
3165404,Sapucaí-Mirim,MG,Sudeste,municipal,52.93,57.41,4.48,75.07,57.41,0,0.0564,baixo,treino,69.0,6462.0,26969.05
3165404,Sapucaí-Mirim,MG,Sudeste,publica,52.93,57.41,4.48,75.07,57.41,0,0.0564,baixo,treino,,6462.0,26969.05
3127305,Galiléia,MG,Sudeste,municipal,47.26,52.6,5.34,62.07,52.6,0,0.0563,baixo,teste,68.0,6281.0,20188.19
2302701,Campos Sales,CE,Nordeste,municipal,84.18,80.0,-4.18,82.79,80.0,0,0.0563,baixo,treino,204.0,26082.0,14190.13
3509502,Campinas,SP,Sudeste,publica,54.88,47.76,-7.12,65.69,47.76,0,0.0563,baixo,teste,,1185977.0,77546.47
2404705,Ipanguaçu,RN,Nordeste,publica,18.04,20.1,2.06,40.91,20.1,0,0.0563,baixo,treino,,14539.0,18146.02
3134707,Jacinto,MG,Sudeste,municipal,45.37,50.97,5.6,55.44,50.97,0,0.0561,baixo,treino,109.0,11169.0,14297.61
3115458,Catuji,MG,Sudeste,publica,40.11,42.58,2.47,67.78,42.58,0,0.0561,baixo,treino,,7226.0,15206.2
3134103,Itueta,MG,Sudeste,estadual,100.0,59.6,-40.4,76.19,59.6,0,0.0561,baixo,treino,21.0,6218.0,26362.66
3171204,Vespasiano,MG,Sudeste,municipal,54.07,58.37,4.3,70.35,58.37,0,0.056,baixo,treino,1436.0,136826.0,26449.88
3121258,Delta,MG,Sudeste,publica,50.98,55.77,4.79,47.77,55.77,1,0.0558,baixo,teste,,11003.0,64387.8
3128253,Guaraciama,MG,Sudeste,municipal,42.0,48.04,6.04,80.7,48.04,0,0.0557,baixo,treino,52.0,5203.0,16095.52
3106200,Belo Horizonte,MG,Sudeste,municipal,57.61,61.33,3.72,68.58,61.33,0,0.0557,baixo,treino,11276.0,2416339.0,53882.2
3131505,Ipuiúna,MG,Sudeste,municipal,52.86,57.35,4.49,63.82,57.35,0,0.0557,baixo,treino,74.0,9299.0,24025.49
3113008,Caraí,MG,Sudeste,publica,52.38,48.07,-4.31,70.04,48.07,0,0.0556,baixo,teste,,19654.0,13932.18
